2014-10-13 18:40:52 status half-installed grep 2.6.3-3+squeeze1
2014-10-13 18:40:52 status unpacked grep 2.6.3-3+squeeze1
2014-10-13 18:40:52 status unpacked grep 2.6.3-3+squeeze1
2014-10-13 18:40:52 install gzip <none> 1.3.12-9+squeeze1
2014-10-13 18:40:52 status half-installed gzip 1.3.12-9+squeeze1
2014-10-13 18:40:52 status unpacked gzip 1.3.12-9+squeeze1
2014-10-13 18:40:52 status unpacked gzip 1.3.12-9+squeeze1
2014-10-13 18:40:52 install hostname <none> 3.04
2014-10-13 18:40:52 status half-installed hostname 3.04
2014-10-13 18:40:52 status unpacked hostname 3.04
2014-10-13 18:40:52 status unpacked hostname 3.04
2014-10-13 18:40:52 install initscripts <none> 2.88dsf-13.1+squeeze1
2014-10-13 18:40:52 status half-installed initscripts 2.88dsf-13.1+squeeze1
2014-10-13 18:40:52 status unpacked initscripts 2.88dsf-13.1+squeeze1
2014-10-13 18:40:52 status unpacked initscripts 2.88dsf-13.1+squeeze1
2014-10-13 18:40:52 install insserv <none> 1.14.0-2
2014-10-13 18:40:52 status half-installed insserv 1.14.0-2
2014-10-13 18:40:52 status unpacked insserv 1.14.0-2
2014-10-13 18:40:52 status unpacked insserv 1.14.0-2
2014-10-13 18:40:52 install libacl1 <none> 2.2.49-4
2014-10-13 18:40:52 status half-installed libacl1 2.2.49-4
2014-10-13 18:40:52 status unpacked libacl1 2.2.49-4
2014-10-13 18:40:52 status unpacked libacl1 2.2.49-4
2014-10-13 18:40:52 install libattr1 <none> 1:2.4.44-2
2014-10-13 18:40:52 status half-installed libattr1 1:2.4.44-2
2014-10-13 18:40:52 status unpacked libattr1 1:2.4.44-2
2014-10-13 18:40:52 status unpacked libattr1 1:2.4.44-2
2014-10-13 18:40:52 install libblkid1 <none> 2.17.2-9
2014-10-13 18:40:52 status half-installed libblkid1 2.17.2-9
2014-10-13 18:40:52 status unpacked libblkid1 2.17.2-9
2014-10-13 18:40:52 status unpacked libblkid1 2.17.2-9
